model,comparator,dataset,subjects,mean_balanced_accuracy_difference,median_balanced_accuracy_difference,descriptive_bootstrap_interval95_low,descriptive_bootstrap_interval95_high,bootstrap_resamples,bootstrap_seed,status
scope,tcformer,local_exp4,8,-0.2041666666666667,-0.1683333333333334,-0.28167708333333324,-0.13458333333333336,100000,20260730,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
scope,tcformer,bnci2014_001,9,-0.287962962962963,-0.28194444444444433,-0.36365740740740743,-0.21512345679012343,100000,20260731,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
scope,tcformer,bnci2014_004,9,-0.03687500000000002,-0.047499999999999876,-0.06041666666666669,-0.013680555555555609,100000,20260732,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
scope,tcformer,cho2017,52,-0.12516025641025638,-0.09449999999999997,-0.15588149038461535,-0.0964358173076923,100000,20260733,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
scope,tcformer,physionet_mi,54,-0.03227190817770529,-0.019108789760963613,-0.053264320220841974,-0.013625017209709257,100000,20260734,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
free_scope,tcformer,local_exp4,8,-0.1379166666666667,-0.09666666666666673,-0.22625000000000006,-0.06333333333333335,100000,20261730,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
free_scope,tcformer,bnci2014_001,9,-0.17183641975308642,-0.1479166666666667,-0.21504629629629632,-0.12955246913580243,100000,20261731,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
free_scope,tcformer,bnci2014_004,9,-0.04153769841269842,-0.03875000000000006,-0.07967385912698412,-0.00813492063492068,100000,20261732,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
free_scope,tcformer,cho2017,52,-0.09679487179487177,-0.09700000000000003,-0.1182083333333333,-0.07589423076923073,100000,20261733,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
free_scope,tcformer,physionet_mi,54,-0.012324678810186054,-0.00385375494071144,-0.02708187268649226,0.0014087268910638329,100000,20261734,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal,tcformer,local_exp4,8,-0.0729166666666667,-0.04833333333333345,-0.12625000000000003,-0.026250000000000023,100000,20262730,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal,tcformer,bnci2014_001,9,-0.02283950617283949,-0.03888888888888886,-0.05354938271604937,0.01188271604938268,100000,20262731,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal,tcformer,bnci2014_004,9,-0.03380952380952386,-0.01749999999999996,-0.06006944444444448,-0.0090178571428572,100000,20262732,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal,tcformer,cho2017,52,-0.016173076923076898,-0.014000000000000068,-0.028919871794871765,-0.003480689102564077,100000,20262733,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal,tcformer,physionet_mi,54,0.027371149382018938,0.027827969132316943,0.01285342098521446,0.041254298070421226,100000,20262734,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
free_cardinal,tcformer,local_exp4,8,-0.026666666666666672,-0.021666666666666667,-0.062499999999999986,0.013749999999999998,100000,20263730,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
free_cardinal,tcformer,bnci2014_001,9,-0.023533950617283958,-0.04097222222222219,-0.05447530864197529,0.011419753086419718,100000,20263731,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
free_cardinal,tcformer,bnci2014_004,9,-0.019563492063492036,-0.022499999999999853,-0.041160714285714266,0.003531746031746011,100000,20263732,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
free_cardinal,tcformer,cho2017,52,-0.016826923076923052,-0.014999999999999958,-0.029499999999999964,-0.004173076923076899,100000,20263733,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
free_cardinal,tcformer,physionet_mi,54,0.02693990456671616,0.02707509881422926,0.012506188959993328,0.040445720577061146,100000,20263734,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics,tcformer,local_exp4,8,-0.02374999999999998,-0.026666666666666672,-0.05124999999999996,0.005416666666666681,100000,20264730,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics,tcformer,bnci2014_001,9,-0.023070987654320967,-0.02361111111111125,-0.06774884259259258,0.019753086419753128,100000,20264731,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics,tcformer,bnci2014_004,9,0.002003968253968264,0.0031250000000001554,-0.012569444444444498,0.017956349206349143,100000,20264732,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics,tcformer,cho2017,52,0.009727564102564127,0.0015000000000001124,-0.0025481570512820477,0.022368589743589788,100000,20264733,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics,tcformer,physionet_mi,54,0.03318197502980112,0.025592885375494062,0.0172492436441712,0.05003373538699624,100000,20264734,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_compact,tcformer,local_exp4,8,-0.022916666666666696,-0.030000000000000027,-0.045833333333333365,0.0033333333333332993,100000,20265730,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_compact,tcformer,bnci2014_001,9,-0.025462962962962896,-0.02777777777777768,-0.06566358024691353,0.012191358024691476,100000,20265731,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_compact,tcformer,bnci2014_004,9,0.008125000000000049,0.003750000000000142,-0.007361111111110979,0.026041666666666644,100000,20265732,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_compact,tcformer,cho2017,52,0.008134615384615409,0.0034999999999999476,-0.0022884615384615127,0.019134615384615423,100000,20265733,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_compact,tcformer,physionet_mi,54,0.03220607559375676,0.018619424054206607,0.017198054562184997,0.048288967138604776,100000,20265734,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_extended,tcformer,local_exp4,8,-0.005833333333333315,-0.011666666666666603,-0.03874999999999995,0.036666666666666625,100000,20266730,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_extended,tcformer,bnci2014_001,9,-0.017746913580246874,-0.023611111111111027,-0.05841242283950614,0.023379629629629646,100000,20266731,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_extended,tcformer,bnci2014_004,9,0.0013492063492063838,-0.0006249999999998757,-0.012986111111111056,0.01745039682539684,100000,20266732,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_extended,tcformer,cho2017,52,0.007480769230769271,0.006000000000000116,-0.0037596153846153626,0.019394230769230823,100000,20266733,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_extended,tcformer,physionet_mi,54,0.030503403601229686,0.02924901185770748,0.015825765418156727,0.04558315426521948,100000,20266734,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_sinc,tcformer,local_exp4,8,-0.03999999999999998,-0.026666666666666672,-0.07833333333333332,-0.00874999999999998,100000,20267730,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_sinc,tcformer,bnci2014_001,9,-0.019598765432098757,-0.028472222222222232,-0.05362654320987655,0.01365740740740742,100000,20267731,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_sinc,tcformer,bnci2014_004,9,0.00798611111111115,-0.001874999999999849,-0.005069444444444398,0.022708333333333355,100000,20267732,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_sinc,tcformer,cho2017,52,-0.005919871794871765,-0.009333333333333249,-0.015352564102564054,0.0037307692307692684,100000,20267733,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
cardinal_dynamics_sinc,tcformer,physionet_mi,54,0.01253685927598971,0.012970543948804786,-6.616915357857142e-05,0.025041496094485197,100000,20267734,"descriptive development-cohort context only; no hypothesis test, confirmation, or SOTA inference"
